F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-0.12321,2577.32,2183.52,7747.32,2.16,9693.21,-2.2498,-1381.98,3033.55,53.796,-90073.683,2.2986,6.786,1,-3.929,-0.8095,3.58,-5.9384,-9.342,1,,True
-2.0646,1200.12,1654.74,6027.72,2.16,9391.26,-2.742,-1336.2,2081.35,33.514,-90039.942,0.9676,5.524,0,-1.6609,-2.302,3.888,-6.564,-6.3806,1,,False
-0.083748,2769.35,2661.42,7798.66,2.16,9296.28,-3.213,-1531.16,3397.15,39.43,-90138.3,1.7296,10.087,0,-2.51,-2.819,2.1606,-5.234,-9.678,0,,False
-2.8083,3161.52,2199.12,8369.32,5.16,7990.71,-2.2703,-1397.03,3289.99,42.012,-90993.33,3.532,15.54,1,-2.2555,-0.977,8.216,-5.8166,-6.1512,0,42.06,True
-0.4458,2707.42,2083.62,9054.72,5.16,8691.81,-3.731,-804.04,1903.35,43.172,-90092.34,0.5662,4.5188,0,-1.7843,-1.369,0.7562,-6.406,-9.532,0,,True
-4.638,2716.72,2248.02,12806.92,5.16,12720.21,-1.9979,-1736.04,4614.35,41.964,-90068.04,0.54782,11.924,0,-1.4422,-0.4898,1.2142,-6.2044,-7.3166,1,,True
-0.29571,2792.12,1338.12,7499.32,2.16,9608.91,-1.7279,-1464.12,3537.65,34.556,-89874.24,1.1074,32.38,1,-2.565,-1.1173,3.638,-5.7458,-8.006,0,,False
-0.4449,1891.42,3179.82,8664.32,5.16,9398.88,-2.2642,-1353.14,3015.15,47.606,-90117.33,1.2584,13.707,0,-1.9235,-0.7047,1.5188,-4.8998,-6.1578,1,40.5,True
-1.2639,2477.32,2659.92,7834.0558,5.16,10069.71,-3.137,-1413.678,3038.75,33.852,-90313.05,1.6374,14.89,0,-3.928,-0.7701,1.846,-5.106,-7.786,0,,False
-0.16245,2914.19,1502.7,9395.32,2.16,8930.52,-2.4263,-664.44,3268.76,30.058,-90078.6,2.1702,5.604,0,-1.561,-2.918,0.5416,-5.598,-7.792,1,40.92,True
-0.0608523,2705.52,1513.47,9075.32,2.16,10616.01,-3.073,-1738.24,3258.56,39.696,-90132.87,1.1492,9.079,0,-1.896,-0.6148,0.4914,-5.1992,-6.777,1,,True
-1.7295,2648.32,2289.72,7706.42,5.16,11583.81,-2.575,-1706.44,5928.35,29.21,-90133.65,0.50936,5.621,1,-4.387,-0.6011,1.6988,-5.6096,-6.9204,0,,True
-5.22,691.12,1786.98,7647.82,5.16,9358.14,-2.781,-1397.712,3102.05,46.12,-90083.13,1.9466,36.75,0,-2.66,-1.612,3.696,-6.12,-5.8736,1,,True
-0.15285,2893.33,1582.275,8637.52,2.16,8731.41,-2.672,-856.64,3290.55,19.734,-89932.41,2.638,36.1,0,-2.1247,-1.624,0.5134,-5.491,-9.886,0,35.58,True
-0.5688,2238.12,3454.32,11872.92,2.16,9824.61,-3.378,-1741.44,3842.15,44.452,-89974.59,0.7786,4.32212,0,-1.475,-1.421,1.4014,-5.0624,-6.0488,0,,True
-0.4389,2850.23,1187.82,5144.92,2.16,9208.809,-1.7223,-1646.64,3333.45,28.672,-90119.1,2.2766,11.418,0,-1.4007,-3.027,0.5788,-5.2098,-6.4232,1,,False
-0.855,2045.22,3290.82,8124.32,5.16,10101.21,-2.3146,-1426.732,2920.35,37.31006,-89715.03,1.1158,18.74,1,-1.5898,-0.8308,2.1432,-4.87,-6.596,0,,True
-5.94,2756.58,4072.62,8109.12,5.16,2511.21,-2.4887,-1329.1,3132.92,27.024,-90130.14,3.882,10.839,1,-3.063,-0.42001,3.752,-4.7924,-13.178,0,42.15,True
-0.068775,2677.82,1897.02,8001.1,2.16,9466.74,-1.6358,-1414.13,3002.95,41.038,-89977.89,1.4156,9.473,1,-5.395,-1.872,1.9534,-7.01,-9.848,0,,True
-0.27768,2744.61,1644.63,9781.12,5.16,8854.11,-2.837,-1332.56,3234.4,46.066,-90060.171,1.8208,14.134,1,-1.4257,-1.1162,1.6686,-5.5186,-6.6128,1,37.44,True
-6.321,2794.54,1521.06,7647,2.16,7847.31,-2.816,-635.24,3220.29,40.564,-90078.621,2.075,20.8,0,-3.056,-0.8299,0.555,-5.2572,-8.24,0,38.91,False
-0.7605,2863.31,1176.42,9072.92,2.16,10676.01,-2.627,-1453.36,3344.35,31.108,-90053.78,2.546,9.501,0,-1.786,-0.5239,4.51,-4.6808,-10.246,0,30.96,True
-0.7113,1680.12,2708.52,7183.92,2.16,6924.81,-1.83,-1018.84,2766.05,37.05564,-90068.364,1.5334,6.553,1,-2.0164,-0.7577,1.7106,-5.058,-6.2934,0,31.77,False
-2.3931,2771.61,1656.27,8030.56,2.16,8927.13,-1.7666,-1348.5,3228.12,45.72,-90057.603,1.6552,17.39,0,-2.1842,-1.804,2.74,-6.2402,-7.2162,0,,False
-0.8463,2821.253,1691.34,7630.12,2.16,-1658.79,-1.8439,-1328.78,3270.28,45.014,-89954.46,1.3224,37.66,1,-2.832,-0.43808,3.976,-6.558,-6.775,0,32.94,False
-1.7409,2844.23,1729.44,7923.9,5.16,8635.11,-2.5593,-1387.84,3279.67,45.478,-90073.965,2.542,22.42,0,-3.544,-0.9782,2.894,-6.71,-5.8028,0,,False
-0.6153,3207.72,1742.4,8133.12,5.16,7766.91,-2.794,-1399.402,3364.55,47.364,-90079.608,1.6664,8.058,0,-3.053,-0.6811,5.65,-8.466,-5.8484,0,41.01,True
-0.13449,2973.02,1483.83,8240.72,5.16,9135.9,-2.773,-1464.4,3406.35,43.56,-89994.3,1.4916,10.246,0,-3.073,-1.964,0.5828,-6.44,-7.1556,0,,True
-0.9222,2695.62,2130.72,11052.92,5.16,9227.508,-1.8577,-1399.914,3158.32,48.08,-90046.656,1.2492,15.69,0,-1.4156,-0.6771,3.402,-5.5778,-8.26,1,37.77,True
-5.847,2474.52,9856.92,8062.12,5.16,10678.41,-2.2849,-1807.84,3289.85,44.444,-90083.379,3.5,10.772,1,-1.8308,-0.611,0.935,-4.4457,-6.331,1,,True
-0.0606135,2409.12,1572.639,7333.72,2.16,9232.74,-4.409,-1163.84,2915.85,35.9038,-89804.31,1.3452,12.173,1,-1.9131,-2.841,0.9218,-5.0526,-7.161,0,35.76,False
-0.0622008,2807.78,2152.62,7891.96,2.16,4644.21,-2.2606,-1276.22,3158.29,40.352,-90062.748,0.901,7.243,1,-2.539,-0.5774,2.984,-5.2846,-8.636,0,,True
-0.7056,1807.12,2058.42,6730.72,2.16,8035.71,-2.253,1174.96,3136.91,38.4132,-89999.4,5.758,5.564,1,-1.6504,-1.2733,0.4552,-6.05,-6.1794,0,,False
-0.27408,2725.62,1399.8,7824.262,5.16,9105.57,-1.8729,-847.84,3190.87,50.51,-90091.62,8.89,31.48,0,-3.116,-2.774,0.6176,-5.1718,-8.792,0,,False
-0.31941,2707.42,1401.57,10762.92,5.16,4842.21,-1.6769,-426.04,2676.75,35.6578,-90106.92,1.1092,9.673,0,-1.635,-0.41816,0.653,-7.144,-7.966,0,32.52,True
-2.4303,2819.937,1507.68,18430.92,5.16,9452.04,-2.976,-1421.746,3253.03,39.1794,-89971.68,1.2444,14.26,0,-1.38139,-0.9195,0.5752,-4.8794,-9.932,1,31.05,False
-2.3328,2755.27,1398.21,6962.32,5.16,9446.91,-1.62449,-2503.84,3263.13,32.27,-89891.34,4.214,21.45,0,-1.669,-3.001,0.4944,-5.5108,-8.868,0,37.14,False
-0.21378,3067.12,2806.02,12206.92,5.16,7910.01,-1.7141,-1340.7,3484.35,50.812,-90071.922,0.9572,6.021,0,-1.4432,-1.0236,3.704,-4.44468,-6.8706,1,28.62,False
-1.137,2086.82,1481.94,7546.92,5.16,8482.71,-1.8879,-1289,3172.72,38.4096,-90005.31,0.779,4.8488,1,-2.2165,-0.7512,1.6512,-9.46,-5.75166,1,,False
-0.084489,3125.32,1555.23,7821.928,2.16,9231.6,-2.649,-1506.74,3931.55,42.02,-90070.887,0.8426,7.408,1,-3.266,-3.023,2.061,-4.6388,-5.9572,0,,False
-0.4041,2906.48,1560.264,7799.84,2.16,6730.41,-2.974,-1353.44,3306.2,37.624,-90133.56,3.342,9.295,0,-3.786,-0.6056,1.961,-8.746,-9.03,1,,False
-2.5071,2918.88,1574.997,7681.22,5.16,9378.42,-1.9424,-1549.22,4346.35,29.152,-89915.82,0.6764,9.84,1,-1.8852,-1.619,1.8652,-9.696,-6.4444,0,33.9,False
-1.0851,3349.32,1909.02,7487.52,2.16,8955.63,-1.6899,-1137.24,3768.85,47.296,-90084.162,0.8488,7.736,0,-1.7658,-4.33,0.9494,-5.1592,-6.0792,0,34.77,False
-0.09522,2610.02,1064.82,7470.92,2.16,9475.08,-2.0386,-1419.558,3198.03,37.6606,-90031.119,5.05,4.3342,0,-2.355,-1.585,1.2582,-5.5894,-7.2272,0,32.79,False
-0.13941,2290.22,2068.92,12746.92,5.16,10216.41,-2.2697,-1410.4884,3160.82,26.226,-89601.63,3.826,22.2,1,-1.4308,-0.6928,1.3552,-5.5658,-6.543,0,38.46,True
-0.5499,2405.62,1547.82,8368.52,5.16,6504.51,-1.8266,-1245.06,1695.35,54.452,-90036.408,0.55168,6.434,0,-2.711,-0.5521,2.698,-10.4,-6.0598,0,32.55,True
-0.080718,2412.72,1446.39,7714.98,5.16,10428.21,-3.004,-1036.44,3036.15,35.6008,-90435.63,1.2534,24.26,1,-2.0205,-0.42143,0.5294,-5.5994,-6.617,1,,False
